time_hour_min,place,location,min_value,max_value,mean_value,median_value,std_dev
00:20,class_a,top_right_corner,22.65,23.950000000000003,23.483333333333334,23.65,0.44930501889028646
00:20,office,indoor,23.1,24.6,23.822222222222223,23.700000000000003,0.46577295374940353
00:22,class_a,bottom_left_corner,22.950000000000003,23.6,23.275000000000002,23.275000000000002,0.4596194077712549
00:22,class_a,bottom_right_corner,21.3,23.5,22.8,23.0,0.6873863542433756
00:22,class_a,indoor,23.1,24.55,23.894444444444446,24.0,0.47066737488143023
00:22,class_a,top_right_corner,22.700000000000003,23.950000000000003,23.505555555555556,23.700000000000003,0.4245913067618996
00:22,office,indoor,22.9,24.700000000000003,23.822222222222223,23.8,0.5380004130523014
00:24,class_a,bottom_left_corner,22.9,23.633333333333336,23.266666666666666,23.266666666666666,0.5185449728701393
00:24,class_a,bottom_right_corner,21.3,23.4,22.844444444444445,23.0,0.7090682462060869
00:24,class_a,indoor,23.05,24.55,23.900000000000002,24.0,0.4834769901453428
00:24,class_a,top_right_corner,22.700000000000003,24.0,23.516666666666666,23.700000000000003,0.43011626335213016
00:24,office,indoor,23.0,24.700000000000003,23.855555555555558,23.8,0.5387743291748213
00:26,class_a,bottom_left_corner,22.9,23.700000000000003,23.3,23.3,0.565685424949241
00:26,class_a,bottom_right_corner,21.3,23.5,22.844444444444445,23.0,0.6984108946585648
00:26,class_a,indoor,23.1,24.55,23.93888888888889,24.1,0.46622002435664583
00:26,class_a,top_right_corner,22.700000000000003,24.0,23.533333333333335,23.700000000000003,0.43803538669837994
00:26,office,indoor,23.0,24.6,23.8,23.700000000000003,0.531843156256751
00:28,class_a,bottom_left_corner,22.9,23.700000000000003,23.3,23.3,0.565685424949241
00:28,class_a,bottom_right_corner,21.4,23.5,22.844444444444445,23.0,0.6839428176227723
