time,value,place,location
2024-04-17 09:04:00,870.0,class_a,indoor
2024-04-17 09:06:00,881.0,class_a,indoor
2024-04-17 09:08:00,898.0,class_a,indoor
2024-04-17 09:10:00,897.0,class_a,indoor
2024-04-17 09:12:00,853.5,class_a,indoor
2024-04-17 09:14:00,804.0,class_a,indoor
2024-04-17 09:16:00,819.0,class_a,indoor
2024-04-17 09:18:00,839.0,class_a,indoor
2024-04-17 09:20:00,850.5,class_a,indoor
2024-04-17 09:22:00,843.0,class_a,indoor
2024-04-17 09:24:00,823.5,class_a,indoor
2024-04-17 09:26:00,872.0,class_a,indoor
2024-04-17 09:28:00,903.0,class_a,indoor
2024-04-17 09:30:00,840.0,class_a,indoor
2024-04-17 09:32:00,790.5,class_a,indoor
2024-04-17 09:34:00,787.6666666666666,class_a,indoor
2024-04-17 09:36:00,777.5,class_a,indoor
2024-04-17 09:38:00,767.0,class_a,indoor
2024-04-17 09:40:00,752.5,class_a,indoor
2024-04-17 09:42:00,731.0,class_a,indoor
2024-04-17 09:44:00,732.0,class_a,indoor
2024-04-17 09:46:00,715.0,class_a,indoor
2024-04-17 09:48:00,685.0,class_a,indoor
2024-04-17 09:50:00,675.5,class_a,indoor
2024-04-17 09:52:00,656.5,class_a,indoor
2024-04-17 09:54:00,635.0,class_a,indoor
2024-04-17 09:56:00,638.5,class_a,indoor
2024-04-17 09:58:00,654.0,class_a,indoor
2024-04-17 10:00:00,651.0,class_a,indoor
2024-04-17 10:02:00,632.0,class_a,indoor
2024-04-17 10:04:00,623.5,class_a,indoor
2024-04-17 10:06:00,627.0,class_a,indoor
2024-04-17 10:08:00,624.5,class_a,indoor
2024-04-17 10:10:00,615.0,class_a,indoor
2024-04-17 10:12:00,606.0,class_a,indoor
2024-04-17 10:14:00,601.5,class_a,indoor
2024-04-17 10:16:00,600.3333333333334,class_a,indoor
2024-04-17 10:18:00,598.0,class_a,indoor
2024-04-17 10:20:00,594.0,class_a,indoor
2024-04-17 10:22:00,588.5,class_a,indoor
2024-04-17 10:24:00,582.5,class_a,indoor
2024-04-17 10:26:00,580.5,class_a,indoor
2024-04-17 10:28:00,579.0,class_a,indoor
2024-04-17 10:30:00,584.5,class_a,indoor
2024-04-17 10:32:00,585.0,class_a,indoor
2024-04-17 10:34:00,576.0,class_a,indoor
2024-04-17 10:36:00,583.0,class_a,indoor
2024-04-17 10:38:00,582.0,class_a,indoor
2024-04-17 10:40:00,585.0,class_a,indoor
2024-04-17 10:42:00,595.5,class_a,indoor
2024-04-17 10:44:00,587.0,class_a,indoor
2024-04-17 10:46:00,589.5,class_a,indoor
2024-04-17 10:48:00,590.0,class_a,indoor
2024-04-17 10:50:00,577.5,class_a,indoor
2024-04-17 10:52:00,584.5,class_a,indoor
2024-04-17 10:54:00,581.0,class_a,indoor
2024-04-17 10:56:00,581.0,class_a,indoor
2024-04-17 10:58:00,578.5,class_a,indoor
2024-04-17 11:00:00,579.5,class_a,indoor
2024-04-17 11:02:00,579.3333333333334,class_a,indoor
2024-04-17 11:04:00,556.5,class_a,indoor
2024-04-17 11:06:00,563.0,class_a,indoor
2024-04-17 11:08:00,567.0,class_a,indoor
2024-04-17 11:10:00,591.0,class_a,indoor
2024-04-17 11:12:00,611.5,class_a,indoor
2024-04-17 11:14:00,605.5,class_a,indoor
2024-04-17 11:16:00,597.6666666666666,class_a,indoor
2024-04-17 11:18:00,597.5,class_a,indoor
2024-04-17 11:20:00,617.5,class_a,indoor
2024-04-17 11:22:00,620.5,class_a,indoor
2024-04-17 11:24:00,608.0,class_a,indoor
2024-04-17 11:26:00,605.5,class_a,indoor
2024-04-17 11:28:00,607.5,class_a,indoor
2024-04-17 11:30:00,609.0,class_a,indoor
2024-04-17 11:32:00,606.0,class_a,indoor
2024-04-17 11:34:00,614.0,class_a,indoor
2024-04-17 11:36:00,631.0,class_a,indoor
2024-04-17 11:38:00,619.0,class_a,indoor
2024-04-17 11:40:00,611.0,class_a,indoor
2024-04-17 11:42:00,619.0,class_a,indoor
2024-04-17 11:44:00,596.0,class_a,indoor
2024-04-17 11:46:00,585.5,class_a,indoor
2024-04-17 11:48:00,590.5,class_a,indoor
2024-04-17 11:50:00,601.5,class_a,indoor
2024-04-17 11:52:00,600.0,class_a,indoor
2024-04-17 11:54:00,587.0,class_a,indoor
2024-04-17 11:56:00,593.0,class_a,indoor
2024-04-17 11:58:00,601.0,class_a,indoor
2024-04-17 12:00:00,594.5,class_a,indoor
2024-04-17 12:02:00,599.0,class_a,indoor
2024-04-17 12:04:00,597.5,class_a,indoor
2024-04-17 12:06:00,581.0,class_a,indoor
2024-04-17 12:08:00,576.5,class_a,indoor
2024-04-17 12:10:00,590.5,class_a,indoor
2024-04-17 12:12:00,607.5,class_a,indoor
2024-04-17 12:14:00,626.0,class_a,indoor
2024-04-17 12:16:00,630.5,class_a,indoor
2024-04-17 12:18:00,634.5,class_a,indoor
2024-04-17 12:20:00,648.5,class_a,indoor
2024-04-17 12:22:00,637.0,class_a,indoor
2024-04-17 12:24:00,625.0,class_a,indoor
2024-04-17 12:26:00,609.5,class_a,indoor
2024-04-17 12:28:00,617.0,class_a,indoor
2024-04-17 12:30:00,643.0,class_a,indoor
2024-04-17 12:32:00,655.5,class_a,indoor
2024-04-17 12:34:00,665.0,class_a,indoor
2024-04-17 12:36:00,657.0,class_a,indoor
2024-04-17 12:38:00,647.5,class_a,indoor
2024-04-17 12:40:00,654.0,class_a,indoor
2024-04-17 12:42:00,654.0,class_a,indoor
2024-04-17 12:44:00,645.5,class_a,indoor
2024-04-17 12:46:00,633.0,class_a,indoor
2024-04-17 12:48:00,630.0,class_a,indoor
2024-04-17 12:50:00,653.0,class_a,indoor
2024-04-17 12:52:00,674.0,class_a,indoor
2024-04-17 12:54:00,677.5,class_a,indoor
2024-04-17 12:56:00,665.0,class_a,indoor
2024-04-17 12:58:00,655.0,class_a,indoor
2024-04-17 13:00:00,657.0,class_a,indoor
2024-04-17 13:02:00,666.0,class_a,indoor
2024-04-17 13:04:00,640.3333333333334,class_a,indoor
2024-04-17 13:06:00,623.0,class_a,indoor
2024-04-17 13:08:00,623.5,class_a,indoor
2024-04-17 13:10:00,626.5,class_a,indoor
2024-04-17 13:12:00,612.0,class_a,indoor
2024-04-17 13:14:00,601.0,class_a,indoor
2024-04-17 13:16:00,600.0,class_a,indoor
2024-04-17 13:18:00,594.0,class_a,indoor
2024-04-17 13:20:00,592.5,class_a,indoor
2024-04-17 13:22:00,597.0,class_a,indoor
2024-04-17 13:24:00,597.5,class_a,indoor
2024-04-17 13:26:00,594.0,class_a,indoor
2024-04-17 13:28:00,605.0,class_a,indoor
2024-04-17 13:30:00,600.5,class_a,indoor
2024-04-17 13:32:00,588.5,class_a,indoor
2024-04-17 13:34:00,593.5,class_a,indoor
2024-04-17 13:36:00,589.5,class_a,indoor
2024-04-17 13:38:00,585.5,class_a,indoor
2024-04-17 13:40:00,577.0,class_a,indoor
2024-04-17 13:42:00,575.5,class_a,indoor
2024-04-17 13:44:00,586.5,class_a,indoor
2024-04-17 13:46:00,589.5,class_a,indoor
2024-04-17 13:48:00,595.0,class_a,indoor
2024-04-17 13:50:00,603.5,class_a,indoor
2024-04-17 13:52:00,610.0,class_a,indoor
2024-04-17 13:54:00,604.5,class_a,indoor
2024-04-17 13:56:00,601.5,class_a,indoor
2024-04-17 13:58:00,606.5,class_a,indoor
2024-04-17 14:00:00,601.0,class_a,indoor
2024-04-17 14:02:00,607.0,class_a,indoor
2024-04-17 14:04:00,610.0,class_a,indoor
2024-04-17 14:06:00,603.5,class_a,indoor
2024-04-17 14:08:00,609.0,class_a,indoor
2024-04-17 14:10:00,615.5,class_a,indoor
2024-04-17 14:12:00,607.0,class_a,indoor
2024-04-17 14:14:00,593.0,class_a,indoor
2024-04-17 14:16:00,592.5,class_a,indoor
2024-04-17 14:18:00,601.5,class_a,indoor
2024-04-17 14:20:00,620.5,class_a,indoor
2024-04-17 14:22:00,625.0,class_a,indoor
2024-04-17 14:24:00,620.5,class_a,indoor
2024-04-17 14:26:00,630.0,class_a,indoor
2024-04-17 14:28:00,618.5,class_a,indoor
2024-04-17 14:30:00,605.5,class_a,indoor
2024-04-17 14:32:00,619.5,class_a,indoor
2024-04-17 14:34:00,611.5,class_a,indoor
2024-04-17 14:36:00,601.0,class_a,indoor
2024-04-17 14:38:00,608.5,class_a,indoor
2024-04-17 14:40:00,630.0,class_a,indoor
2024-04-17 14:42:00,621.5,class_a,indoor
2024-04-17 14:44:00,595.0,class_a,indoor
2024-04-17 14:46:00,606.0,class_a,indoor
2024-04-17 14:48:00,627.0,class_a,indoor
2024-04-17 14:50:00,627.5,class_a,indoor
2024-04-17 14:52:00,620.5,class_a,indoor
2024-04-17 14:54:00,632.0,class_a,indoor
2024-04-17 14:56:00,639.5,class_a,indoor
2024-04-17 14:58:00,638.0,class_a,indoor
2024-04-17 15:00:00,622.5,class_a,indoor
2024-04-17 15:02:00,613.5,class_a,indoor
2024-04-17 15:04:00,608.0,class_a,indoor
2024-04-17 15:06:00,595.5,class_a,indoor
2024-04-17 15:08:00,592.5,class_a,indoor
2024-04-17 15:10:00,592.5,class_a,indoor
2024-04-17 15:12:00,603.0,class_a,indoor
2024-04-17 15:14:00,607.5,class_a,indoor
2024-04-17 15:16:00,590.0,class_a,indoor
2024-04-17 15:18:00,592.5,class_a,indoor
2024-04-17 15:20:00,600.5,class_a,indoor
2024-04-17 15:22:00,584.5,class_a,indoor
2024-04-17 15:24:00,585.0,class_a,indoor
2024-04-17 15:26:00,592.0,class_a,indoor
2024-04-17 15:28:00,593.5,class_a,indoor
2024-04-17 15:30:00,592.5,class_a,indoor
2024-04-17 15:32:00,590.0,class_a,indoor
2024-04-17 15:34:00,597.0,class_a,indoor
2024-04-17 15:36:00,604.0,class_a,indoor
2024-04-17 15:38:00,597.5,class_a,indoor
2024-04-17 15:40:00,586.6666666666666,class_a,indoor
2024-04-17 15:42:00,594.0,class_a,indoor
2024-04-17 15:44:00,594.0,class_a,indoor
2024-04-17 15:46:00,578.5,class_a,indoor
2024-04-17 15:48:00,572.0,class_a,indoor
2024-04-17 15:50:00,564.5,class_a,indoor
2024-04-17 15:52:00,547.5,class_a,indoor
2024-04-17 15:54:00,553.5,class_a,indoor
2024-04-17 15:56:00,564.0,class_a,indoor
2024-04-17 15:58:00,564.0,class_a,indoor
2024-04-17 16:00:00,573.0,class_a,indoor
2024-04-17 16:02:00,577.5,class_a,indoor
2024-04-17 16:04:00,577.5,class_a,indoor
2024-04-17 16:06:00,581.5,class_a,indoor
2024-04-17 16:08:00,576.0,class_a,indoor
2024-04-17 16:10:00,576.0,class_a,indoor
2024-04-17 16:12:00,585.0,class_a,indoor
2024-04-17 16:14:00,599.0,class_a,indoor
2024-04-17 16:16:00,606.0,class_a,indoor
2024-04-17 16:18:00,583.5,class_a,indoor
2024-04-17 16:20:00,576.0,class_a,indoor
2024-04-17 16:22:00,573.5,class_a,indoor
2024-04-17 16:24:00,562.5,class_a,indoor
2024-04-17 16:26:00,577.0,class_a,indoor
2024-04-17 16:28:00,582.5,class_a,indoor
2024-04-17 16:30:00,573.5,class_a,indoor
2024-04-17 16:32:00,562.5,class_a,indoor
2024-04-17 16:34:00,565.5,class_a,indoor
2024-04-17 16:36:00,570.0,class_a,indoor
2024-04-17 16:38:00,563.0,class_a,indoor
2024-04-17 16:40:00,564.5,class_a,indoor
2024-04-17 16:42:00,571.5,class_a,indoor
2024-04-17 16:44:00,576.5,class_a,indoor
2024-04-17 16:46:00,573.5,class_a,indoor
2024-04-17 16:48:00,568.0,class_a,indoor
2024-04-17 16:50:00,558.0,class_a,indoor
2024-04-17 16:52:00,548.0,class_a,indoor
2024-04-17 16:54:00,558.5,class_a,indoor
2024-04-17 16:56:00,577.0,class_a,indoor
2024-04-17 16:58:00,573.3333333333334,class_a,indoor
2024-04-17 17:00:00,559.5,class_a,indoor
2024-04-17 17:02:00,561.0,class_a,indoor
2024-04-17 17:04:00,559.0,class_a,indoor
2024-04-17 17:06:00,559.0,class_a,indoor
2024-04-17 17:08:00,571.0,class_a,indoor
2024-04-17 17:10:00,568.5,class_a,indoor
2024-04-17 17:12:00,565.0,class_a,indoor
2024-04-17 17:14:00,567.0,class_a,indoor
2024-04-17 17:16:00,561.5,class_a,indoor
2024-04-17 17:18:00,552.5,class_a,indoor
2024-04-17 17:20:00,550.5,class_a,indoor
2024-04-17 17:22:00,555.5,class_a,indoor
2024-04-17 17:24:00,546.0,class_a,indoor
2024-04-17 17:26:00,538.0,class_a,indoor
2024-04-17 17:28:00,535.0,class_a,indoor
2024-04-17 17:30:00,539.0,class_a,indoor
2024-04-17 17:32:00,546.5,class_a,indoor
2024-04-17 17:34:00,545.6666666666666,class_a,indoor
2024-04-17 17:36:00,543.5,class_a,indoor
2024-04-17 17:38:00,534.5,class_a,indoor
2024-04-17 17:40:00,535.0,class_a,indoor
2024-04-17 17:42:00,531.5,class_a,indoor
2024-04-17 17:44:00,525.5,class_a,indoor
2024-04-17 17:46:00,541.5,class_a,indoor
2024-04-17 17:48:00,539.5,class_a,indoor
2024-04-17 17:50:00,526.5,class_a,indoor
2024-04-17 17:52:00,533.0,class_a,indoor
2024-04-17 17:54:00,536.0,class_a,indoor
2024-04-17 17:56:00,532.0,class_a,indoor
2024-04-17 17:58:00,541.0,class_a,indoor
2024-04-17 18:00:00,543.5,class_a,indoor
2024-04-17 18:02:00,536.5,class_a,indoor
2024-04-17 18:04:00,527.5,class_a,indoor
2024-04-17 18:06:00,518.5,class_a,indoor
2024-04-17 18:08:00,527.5,class_a,indoor
2024-04-17 18:10:00,534.0,class_a,indoor
2024-04-17 18:12:00,526.0,class_a,indoor
2024-04-17 18:14:00,534.5,class_a,indoor
2024-04-17 18:16:00,545.0,class_a,indoor
2024-04-17 18:18:00,530.5,class_a,indoor
2024-04-17 18:20:00,523.0,class_a,indoor
2024-04-17 18:22:00,526.5,class_a,indoor
2024-04-17 18:24:00,536.3333333333334,class_a,indoor
2024-04-17 18:26:00,539.0,class_a,indoor
